Year,Category,Round,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP_per_G,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
2003,Lottery Players,Round1,1,CLE,LeBron James,,17,1258,48329,34087,9353,9298,0.504,0.344,0.735,38.4,27.1,7.4,7.4,236.1,0.235,8.9,133.2
2003,Lottery Players,Round1,2,DET,Darko Miličić,,10,468,8638,2813,1971,405,0.46,0,0.574,18.5,6,4.2,0.9,7.1,0.04,-2.4,-0.9
2003,Lottery Players,Round1,3,DEN,Carmelo Anthony,Syracuse,17,1114,39752,26314,7251,3244,0.448,0.348,0.812,35.7,23.6,6.5,2.9,102,0.123,1.6,35.7
2003,Lottery Players,Round1,4,TOR,Chris Bosh,Georgia Tech,13,893,31936,17189,7592,1795,0.494,0.335,0.799,35.8,19.2,8.5,2,106,0.159,1.9,31.1
2003,Lottery Players,Round1,5,MIA,Dwyane Wade,Marquette,16,1054,35773,23165,4933,5701,0.48,0.293,0.765,33.9,22,4.7,5.4,120.7,0.162,5,62.8
2003,Lottery Players,Round1,6,LAC,Chris Kaman,Central Michigan University,13,735,19642,8208,5582,921,0.489,0.042,0.743,26.7,11.2,7.6,1.3,24.6,0.06,-1.9,0.4
2003,Lottery Players,Round1,7,CHI,Kirk Hinrich,Kansas,13,879,27015,9594,2576,4245,0.411,0.375,0.8,30.7,10.9,2.9,4.8,52.5,0.093,0,13.3
2003,Lottery Players,Round1,8,MIL,T.J. Ford,Texas,8,429,11882,4797,1331,2495,0.433,0.289,0.815,27.7,11.2,3.1,5.8,16.9,0.068,-0.4,4.6
2003,Lottery Players,Round1,9,NYK,Mike Sweetney,Georgetown,4,233,3610,1516,1045,145,0.485,0,0.689,15.5,6.5,4.5,0.6,7.8,0.103,-2.7,-0.6
2003,Lottery Players,Round1,10,WAS,Jarvis Hayes,Georgia,7,427,9898,3553,1330,459,0.415,0.356,0.798,23.2,8.3,3.1,1.1,10.2,0.049,-2.5,-1.3
2003,Lottery Players,Round2,11,GSW,Mickaël Piétrus,,10,557,11950,4629,1723,445,0.425,0.355,0.665,21.5,8.3,3.1,0.8,19.7,0.079,-0.9,3.2
2003,Lottery Players,Round2,12,SEA,Nick Collison,Kansas,14,910,18603,5359,4701,939,0.534,0.208,0.723,20.4,5.9,5.2,1,44.5,0.115,-1.3,3.1
2003,Lottery Players,Round2,13,MEM,Marcus Banks,UNLV,8,348,5571,2061,519,728,0.432,0.327,0.768,16,5.9,1.5,2.1,6.6,0.057,-2,-0.1
2003,Lottery Players,Round2,14,SEA,Luke Ridnour,Oregon,12,830,21623,7740,1877,3713,0.431,0.349,0.862,26.1,9.3,2.3,4.5,36,0.08,-0.6,7.5
2003,Lottery Players,Round2,15,ORL,Reece Gaines,Louisville,3,71,605,123,53,50,0.324,0.269,0.606,8.5,1.7,0.7,0.7,-0.6,-0.049,-6.1,-0.6
2003,Lottery Players,Round2,16,BOS,Troy Bell,Boston College,1,6,34,11,4,4,0.222,0,1,5.7,1.8,0.7,0.7,-0.2,-0.326,-19.6,-0.2
2003,Lottery Players,Round2,17,PHO,Žarko Čabarkapa,,3,150,1550,640,312,85,0.427,0.273,0.733,10.3,4.3,2.1,0.6,1.1,0.035,-3.9,-0.7
2003,Lottery Players,Round2,18,NOH,David West,Xavier,15,1034,29144,14034,6590,2273,0.495,0.265,0.817,28.2,13.6,6.4,2.2,85.9,0.141,1.7,27.6
2003,Lottery Players,Round2,19,UTA,Sasha Pavlović,,10,567,8888,2787,1000,517,0.404,0.346,0.673,15.7,4.9,1.8,0.9,7,0.038,-3.4,-3.1
2003,Lottery Players,Round2,20,BOS,Dahntay Jones,Duke,13,624,9799,3353,1082,529,0.439,0.329,0.751,15.7,5.4,1.7,0.8,9.9,0.048,-3.7,-4.1
2003,Non-lottery Players,Round3,21,ATL,Boris Diaw,,14,1064,28768,9139,4634,3684,0.493,0.336,0.717,27,8.6,4.4,3.5,51.6,0.086,0.1,15.5
2003,Non-lottery Players,Round3,22,NJN,Zoran Planinić,,3,148,1584,561,198,165,0.405,0.289,0.677,10.7,3.8,1.3,1.1,1.5,0.046,-3.5,-0.6
2003,Non-lottery Players,Round3,23,POR,Travis Outlaw,,11,622,13026,5273,1974,514,0.423,0.337,0.744,20.9,8.5,3.2,0.8,16.5,0.061,-1.4,2.1
2003,Non-lottery Players,Round3,24,LAL,Brian Cook,Illinois,9,421,5649,2312,1115,252,0.439,0.382,0.783,13.4,5.5,2.6,0.6,10.2,0.086,-1.6,0.5
2003,Non-lottery Players,Round3,25,DET,Carlos Delfino,,8,507,11580,4115,1815,887,0.401,0.365,0.758,22.8,8.1,3.6,1.7,22.5,0.093,0.5,7.2
2003,Non-lottery Players,Round3,26,MIN,Ndudi Ebi,,2,19,86,40,19,4,0.486,0,0.462,4.5,2.1,1,0.2,0.1,0.051,-3.8,0
2003,Non-lottery Players,Round3,27,MEM,Kendrick Perkins,,14,782,17162,4214,4532,813,0.53,0,0.594,21.9,5.4,5.8,1,27.9,0.078,-1.9,0.6
2003,Non-lottery Players,Round3,28,SAS,Leandro Barbosa,,14,850,18386,9035,1720,1775,0.459,0.387,0.821,21.6,10.6,2,2.1,37.4,0.098,-0.2,8.6
2003,Non-lottery Players,Round3,29,DAL,Josh Howard,Wake Forest,10,507,15350,7270,2886,817,0.448,0.332,0.77,30.3,14.3,5.7,1.6,38,0.119,0.6,10
2003,Non-lottery Players,Round3,30,NYK,Maciej Lampe,,3,64,632,215,142,22,0.407,0.25,0.676,9.9,3.4,2.2,0.3,-0.2,-0.014,-7,-0.8
2003,Non-lottery Players,Round4,31,CLE,Jason Kapono,UCLA,9,509,9068,3398,844,417,0.442,0.434,0.835,17.8,6.7,1.7,0.8,10.3,0.055,-2.6,-1.3
2003,Non-lottery Players,Round4,32,LAL,Luke Walton,Arizona,10,564,9685,2649,1588,1317,0.429,0.326,0.715,17.2,4.7,2.8,2.3,13.5,0.067,-1,2.5
2003,Non-lottery Players,Round4,33,MIA,Jerome Beasley,University of North Dakota,1,2,5,2,1,0,0.333,,,2.5,1,0.5,0,0,-0.117,-5.2,0
2003,Non-lottery Players,Round4,34,LAC,Sofoklis Schortsanitis,,,,,,,,,,,,,,,,,,
2003,Non-lottery Players,Round4,35,MIL,Szymon Szewczyk,,,,,,,,,,,,,,,,,,
2003,Non-lottery Players,Round4,36,CHI,Mario Austin,Mississippi State,,,,,,,,,,,,,,,,,
2003,Non-lottery Players,Round4,37,ATL,Travis Hansen,BYU,1,41,507,123,70,19,0.354,0.3,0.815,12.4,3,1.7,0.5,0.2,0.019,-6.2,-0.5
2003,Non-lottery Players,Round4,38,WAS,Steve Blake,Maryland,13,870,20823,5662,1816,3446,0.401,0.383,0.779,23.9,6.5,2.1,4,29.1,0.067,-1.2,4.2
2003,Non-lottery Players,Round4,39,NYK,Slavko Vraneš,,1,1,3,0,0,0,0,,,3,0,0,0,0,-0.371,-26.2,0
2003,Non-lottery Players,Round4,40,GSW,Derrick Zimmerman,Mississippi State,1,2,32,4,4,7,0.667,,,16,2,2,3.5,0,0.004,-10.4,-0.1
2003,Non-lottery Players,Round5,41,SEA,Willie Green,Detroit Mercy,12,731,14783,6059,1303,1018,0.425,0.346,0.765,20.2,8.3,1.8,1.4,12.9,0.042,-2.7,-2.7
2003,Non-lottery Players,Round5,42,ORL,Zaza Pachulia,,16,1098,22240,7414,6315,1433,0.469,0,0.751,20.3,6.8,5.8,1.3,52.7,0.114,-1.5,2.9
2003,Non-lottery Players,Round5,43,MIL,Keith Bogans,Kentucky,11,671,14527,4257,1817,866,0.394,0.353,0.716,21.6,6.3,2.7,1.3,20.4,0.068,-1.5,1.9
2003,Non-lottery Players,Round5,44,HOU,Malick Badiane,,,,,,,,,,,,,,,,,,
2003,Non-lottery Players,Round5,45,CHI,Matt Bonner,Florida,12,792,13356,4632,2371,552,0.464,0.414,0.78,16.9,5.8,3,0.7,38.5,0.138,1,10.1
2003,Non-lottery Players,Round5,46,DEN,Sani Bečirovič,,,,,,,,,,,,,,,,,,
2003,Non-lottery Players,Round5,47,UTA,Mo Williams,Alabama,13,818,23872,10759,2264,3990,0.434,0.378,0.871,29.2,13.2,2.8,4.9,40,0.08,-0.3,10
2003,Non-lottery Players,Round5,48,NOH,James Lang,,1,11,55,11,11,2,0.444,,0.6,5,1,1,0.2,0.1,0.047,-6.4,-0.1
2003,Non-lottery Players,Round5,49,IND,James Jones,Miami (FL),14,709,11098,3717,1276,366,0.401,0.401,0.84,15.7,5.2,1.8,0.5,25.2,0.109,-0.1,5.4
2003,Non-lottery Players,Round5,50,PHI,Paccelis Morlende,,,,,,,,,,,,,,,,,,
2003,Non-lottery Players,Round6,51,NJN,Kyle Korver,Creighton,17,1224,31056,11903,3625,2107,0.442,0.429,0.876,25.4,9.7,3,1.7,73.1,0.113,0.6,20.6
2003,Non-lottery Players,Round6,52,TOR,Remon Van de Hare,,,,,,,,,,,,,,,,,,
2003,Non-lottery Players,Round6,53,CHI,Tommy Smith,Arizona State,,,,,,,,,,,,,,,,,
2003,Non-lottery Players,Round6,54,POR,Nedžad Sinanović,,,,,,,,,,,,,,,,,,
2003,Non-lottery Players,Round6,55,MIN,Rick Rickert,Minnesota,,,,,,,,,,,,,,,,,
2003,Non-lottery Players,Round6,56,BOS,Brandon Hunter,Ohio University,2,67,630,220,187,22,0.476,0,0.488,9.4,3.3,2.8,0.3,0.7,0.055,-3.7,-0.3
2003,Non-lottery Players,Round6,57,DAL,Xue Yuyang,,,,,,,,,,,,,,,,,,
2003,Non-lottery Players,Round6,58,DET,Andreas Glyniadakis,,1,13,81,17,8,1,0.471,,0.5,6.2,1.3,0.6,0.1,-0.2,-0.143,-14,-0.2
2004,Lottery Players,Round1,1,ORL,Dwight Howard,,16,1106,37177,18582,13641,1577,0.586,0.132,0.565,33.6,16.8,12.3,1.4,133.9,0.173,2.1,38.4
2004,Lottery Players,Round1,2,CHA,Emeka Okafor,UConn,10,616,19055,7370,5967,520,0.512,0,0.586,30.9,12,9.7,0.8,45.3,0.114,-0.6,6.8
2004,Lottery Players,Round1,3,CHI,Ben Gordon,UConn,11,744,20366,11084,1851,1868,0.432,0.401,0.857,27.4,14.9,2.5,2.5,33.3,0.078,-0.3,8.7
2004,Lottery Players,Round1,4,LAC,Shaun Livingston,,14,833,17188,5231,1989,2483,0.486,0.178,0.794,20.6,6.3,2.4,3,29.9,0.084,-1,4.3
2004,Lottery Players,Round1,5,WAS,Devin Harris,Wisconsin,15,985,23963,10597,2151,3869,0.432,0.325,0.796,24.3,10.8,2.2,3.9,54.9,0.11,0.6,15.5
2004,Lottery Players,Round1,6,ATL,Josh Childress,Stanford,8,391,10432,3548,1850,609,0.522,0.329,0.779,26.7,9.1,4.7,1.6,25.7,0.118,0.8,7.4
2004,Lottery Players,Round1,7,PHO,Luol Deng,Duke,15,902,30941,13361,5468,2042,0.456,0.332,0.769,34.3,14.8,6.1,2.3,74,0.115,0.9,22.9
2004,Lottery Players,Round1,8,TOR,Rafael Araújo,BYU,3,139,1585,389,395,41,0.405,0.25,0.679,11.4,2.8,2.8,0.3,-0.4,-0.013,-7.2,-2.1
2004,Lottery Players,Round1,9,PHI,Andre Iguodala,Arizona,16,1122,37293,13517,5684,4849,0.466,0.334,0.709,33.2,12,5.1,4.3,96.8,0.125,2.3,40
2004,Lottery Players,Round1,10,CLE,Luke Jackson,Oregon,4,73,724,252,89,58,0.357,0.36,0.732,9.9,3.5,1.2,0.8,0.2,0.01,-3.7,-0.3
2004,Lottery Players,Round2,11,GSW,Andris Biedriņš,,10,516,11146,3247,3631,467,0.594,0,0.5,21.6,6.3,7,0.9,30.7,0.132,-0.4,4.6
2004,Lottery Players,Round2,12,SEA,Robert Swift,,4,97,1500,416,376,20,0.506,,0.61,15.5,4.3,3.9,0.2,1.7,0.054,-3.8,-0.7
2004,Lottery Players,Round2,13,POR,Sebastian Telfair,,10,564,12149,4183,898,1960,0.39,0.319,0.777,21.5,7.4,1.6,3.5,5,0.02,-3.4,-4.2
2004,Lottery Players,Round2,14,UTA,Kris Humphries,Minnesota,13,800,14232,5350,4314,556,0.463,0.293,0.7,17.8,6.7,5.4,0.7,30.3,0.102,-1.7,1.2
2004,Lottery Players,Round2,15,BOS,Al Jefferson,,14,915,26299,14343,7690,1347,0.499,0.121,0.711,28.7,15.7,8.4,1.5,71,0.13,1.2,21.3
2004,Lottery Players,Round2,16,UTA,Kirk Snyder,Nevada,4,211,3540,1333,491,241,0.438,0.327,0.699,16.8,6.3,2.3,1.1,4.5,0.061,-1.2,0.7
2004,Lottery Players,Round2,17,ATL,Josh Smith,,13,894,29000,12996,6653,2789,0.452,0.285,0.632,32.4,14.5,7.4,3.1,51,0.084,1.7,27.2
2004,Lottery Players,Round2,18,NOH,J.R. Smith,,15,971,26196,12131,3068,2074,0.419,0.373,0.732,27,12.5,3.2,2.1,46.4,0.085,0.2,14.8
2004,Lottery Players,Round2,19,MIA,Dorell Wright,,11,549,12280,4597,2093,850,0.424,0.365,0.806,22.4,8.4,3.8,1.5,25.9,0.101,0.9,9.1
2004,Lottery Players,Round2,20,DEN,Jameer Nelson,Saint Joseph's,14,878,24539,9940,2595,4508,0.436,0.368,0.81,27.9,11.3,3,5.1,48.3,0.094,-0.1,11.6
